"","brnn_predictions","merged_data.Rating","merged_data.Year","minutes","pct3PRate","pctFTRate","pctORB","pctDRB","pctAST","pctSTL","pctBLK","pctTOV","pctUSG","ratioOWS","ratioWSPer48","ratioDBPM","X.","Rating"
"163",74.8978773826684,75,2020,-0.986750267147687,0.803037000082594,-1.31768485619799,-0.431089657994094,-0.647511395132371,-0.407852642949567,-0.431842153523507,2.38773066356383,-1.02392879887957,-0.382046037484666,-0.571363722810607,-0.524805603936923,-0.801975395808807,0.551997441423238,-0.00620687947820712
"167",82.1161748846325,82,2020,-0.271434206519487,0.849750754816172,1.45778653488251,-0.403805502424848,0.110924672971206,-0.506900288319223,-0.450581979139524,0.136825201382996,-0.683102527765924,0.859989498188685,0.460945663575923,1.21771592607668,-0.734830180701837,-0.421507004355692,1.03210310608367
"170",77.9333314807573,78,2020,-0.383466836272716,1.5817799786027,-1.0458826744986,-0.321953035717109,-0.660151996267431,-0.695090814521569,-0.390614537168269,-0.545949455478523,0.013368547988048,-0.801434659919823,-0.338950442039972,0.434114575042858,0.894997171405729,0.104085115231631,0.481887855041913
"174",74.4524167271171,75,2020,-1.80894310091303,-1.59434292101615,-1.98724135400543,-0.533405241378769,-1.96213391317857,-1.38842433210916,-0.360630816182642,-0.38463456402223,-1.91304081048039,-1.0111289711374,-0.70360157760461,-1.2521282936027,2.62823571283011,-0.13502816927819,-0.00620687947820712
"177",73.9743601979992,74,2020,-0.441538309195962,1.56764587674517,0.0923542412586468,-0.301489919040174,-0.243012158810463,-0.922900398871778,-0.409354362784286,-0.515937382649445,-0.41636892428568,-0.849825654816187,0.0359676164827333,0.642628315301133,0.442543999272722,-0.938089950123625,-0.185797629811158
"185",68.0110066079312,68,2020,-1.8275523944609,1.48288672842126,-1.98724135400543,-0.533405241378769,-1.96213391317857,-0.37813834933867,-0.488061630371558,-0.613476619343948,4.01437260019172,-0.382046037484666,-0.70360157760461,-1.96907593981483,-1.69362759275533,0.176150887934848,-1.48409773657962
"191",83.0922968500942,83,2020,-1.55683185072614,-1.59434292101615,-1.98724135400543,0.155519686744705,1.46346899442259,-1.38842433210916,-0.43559011864671,-0.219568163462302,-1.91304081048039,-0.123960731370723,-0.571363722810607,1.74304672044691,0.398852179386302,0.607250883692695,1.15437269572658
"194",79.972708399055,80,2020,-0.557833421618723,-1.06473058202031,0.705941386213079,-0.151427063409318,1.43818779215247,1.52357644175872,-0.390614537168269,-0.557203982789427,1.09512149543571,0.618034523706863,-0.450410475139777,-0.0595936211587575,0.84862300798467,-0.787088947658043,0.769953824714859
"196",76.9751812451579,77,2020,-0.490237398037853,-0.31900389416699,0.30528628893878,-0.36970030796329,-0.268293361080583,0.523195223525199,-0.386866572045066,-0.560955491893062,-0.475643058392401,-0.946607644608916,0.116121789407795,0.955221050582979,0.530861619753514,1.87576953221543,0.327118419748069
"199",86.0911219959432,86,2020,-0.176774934217311,-1.51319507691831,0.928887613321954,-0.417447580209471,-0.141887349729986,0.810433395097201,-0.439338083769914,-0.568458510100331,0.13191681620149,1.18259613083111,0.116121789407795,0.0467656301214065,-0.529426878939754,-0.224188251133798,1.48977344590346
"202",75.9247030150223,76,2020,-1.43100717444353,1.08839471474805,-0.424377114565785,0.0600251422523422,0.363736695672399,-0.566328875541017,-0.450581979139524,-0.549700964582157,-0.846106396559407,-1.04338963440164,-0.571363722810607,0.377325289819247,-0.494539424507303,2.43744979608653,0.164586141946783
"205",73.7702989259262,74,2020,-1.99496520358543,1.16809048175267,-1.98724135400543,0.585245136960337,0.275252487726981,-1.38842433210916,-0.488061630371558,-0.613476619343948,-1.91304081048039,2.48915299303295,-0.70360157760461,-2.40673926298751,-3.89879983014913,1.56677674955407,-0.185797629811158
"207",69.9461071144477,70,2020,-1.39242544451685,0.933901358099616,-1.98724135400543,-0.533405241378769,0.0730028695660272,-1.07147186692626,2.88510698051151,-0.613476619343948,0.013368547988048,0.117994243111099,-0.70360157760461,-0.696327964263887,-1.03262786359585,0.997142166099756,-1.00446110685735
"210",76.9954744931026,77,2020,-0.780198903973141,-1.44096016177481,-0.964582249054631,0.59888721474496,1.58987500577318,0.0576712902878157,-0.443086048893117,-0.545949455478523,0.872843492535503,-0.446567364013151,-0.235588694264219,0.560778858053197,0.530861619753514,0.607250883692695,0.327118419748069
"212",73.9263591432326,74,2020,-1.35633347418847,-0.686092509699113,-0.561708557578166,-0.096858752270825,-0.773917406482968,-0.823852753502122,-0.394362502291473,-0.613476619343948,-0.638646927185884,-0.20461238953133,-0.571363722810607,1.12921242229015,-0.206852183341018,-0.787088947658043,-0.185797629811158
"214",84.3396632139687,84,2020,-0.759275417097341,-1.2644881587514,0.298588510527949,-0.41062654131716,-1.1404948393997,3.15786259035805,-0.41310232790749,-0.549700964582157,0.932117626642224,2.32784967671174,-0.235588694264219,0.209877196335698,-1.16176916419785,0.763355998124743,1.27121024023552
"216",66.9757603013239,67,2020,-1.91308504051242,-1.54927611552663,-1.98724135400543,-0.533405241378769,-1.96213391317857,0.107195112972644,-0.488061630371558,-0.613476619343948,5.49622595285975,-1.55956024662953,-0.70360157760461,-0.0172771918012465,-2.29263740931181,-0.224188251133798,-1.74446727225435
"218",78.8945069769012,79,2020,-0.437419232421223,-0.41096565597701,1.02446776457996,-0.342416152394043,-0.799198608753087,0.0972903484356781,-0.450581979139524,-0.500931346234906,-0.386731857232319,-0.253003384427694,-0.0489430111014471,0.100657738874373,-0.424124388388856,-0.938089950123625,0.629356557883113
"221",87.2542470662158,87,2020,-0.209025099426229,-0.231525915729632,0.482016733208628,-0.465194852455653,-0.811839209888147,1.48395738361086,2.51031046819117,2.38773066356383,0.68020255668866,1.53746342673779,0.398282721689202,0.785213071572793,-0.667058196488228,-1.58791743355503,1.59204296632118
"227",75.9339073315408,76,2020,-0.747553824933259,0.495394072006004,-0.711847130393068,0.298761503483249,0.869360741074783,-1.02194804424143,2.13551395587083,-0.474670782509463,1.67304430297624,0.279297559432313,-1.36632948207098,-1.35062704959776,-0.459442086913757,0.0285099185968591,0.164586141946783
"231",73.942711164179,74,2020,-0.334177502132013,0.193579745113995,-0.117259892067069,-0.28784784125555,-0.748636204212849,-0.358328820264739,-0.420598258153896,-0.553452473685792,-0.801650795979367,0.47286153901777,-0.338950442039972,-0.436850658842554,-0.667058196488228,0.712817894302602,-0.185797629811158
"238",82.1413312103976,82,2020,-0.283676987300804,-1.19646651478405,0.285159537448586,0.298761503483249,1.94381183755485,0.216147522879265,2.51031046819117,-0.538446437271253,0.0430056150414085,0.908380493085049,0.0359676164827333,0.918456964632154,1.22553867617669,-0.13502816927819,1.03210310608367
"240",89.3814297385315,89,2020,-0.210663713172521,-0.489034813621035,0.526577952812104,-0.260563685686304,-0.306215164485762,0.869861982318994,-0.41310232790749,1.63742884283688,-0.534917192499122,2.00524304406931,0.116121789407795,0.906242839741905,0.665494806777559,1.56677674955407,1.78378780513179
